DonViId,TenDonVi,DiaChi,Website,MoTa,ChuongTrinh,ChuSoHuu,LaChiNhanh,TinhTrang,GVVN,GVNN,HoatDong,LoaiQuyetDinh,QuyetDinhSo
98,"Công ty TNHH CRIMSON EDUCATION
","Lầu 6 tòa nhà văn phòng Beta Tower, số 55 Nam Kỳ Khởi Nghĩa, phường Nguyễn Thái Bình Quận 1 Thành Phố Hồ Chí Minh",crimsoneducation.org,None,None,"Trần Mai Phương
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"338
"
99,"Công ty TNHH SEICHO
","18-20, đường số 5, khu dân cư Him Lam, phường Tân Hưng Quận 7 Thành Phố Hồ Chí Minh",None,None,None,"ông UENO RYOSUKE
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"203
"
100,"Công ty TNHH Thương mại Dịch vụ và Đào tạo Ngoại ngữ Tin học Redbook
","215 Bạch Đằng, Phường 15 Quận Bình Thạnh Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Hồng Thư
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"760
"
101,"Công ty Cổ phần Giáo dục Vietint
","số 27, đường Nguyễn Trường Tộ, phường Nguyễn Trung Trực Quận Ba Đình Thành Phố Hà Nội",None,None,None,"Nguyễn Thị Hồng Điệp
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
102,"Công ty Cổ phần Tư vấn du học Coneff Việt Nam
","19, đường Bà Huyện Thanh Quan, Phường 9 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,"Trần Thanh Thụy Nam Phương
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"1978/GDĐT-TC
"
103,"Công ty Trách nhiệm hữu hạn Care Education
","90/1 Trần Khắc Chân, Phường 9 Quận Phú Nhuận Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Thủy
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"1887/GDĐT-TC
"
104,"Công ty Trách nhiệm hữu hạn API Learning Sapiens
"," 05, đường Quách Văn Tuấn, Phường 12 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,"ông Jang Sihwan
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"1888/GDĐT-TC
"
108,"Công ty Trách nhiệm hữu hạn Tư vấn du học Thúy Nguyễn
","34, đường 11A, phường An Phú Quận 2 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Diễm Thúy
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"2103/GDĐT-TC
"
109,"Công ty Cổ phần Đào tạo và Đầu tư Giáo dục Minh Việt
","14/1, đường Trần Khắc Chân, phường Tân Định Quận 1 Thành Phố Hồ Chí Minh",None,None,None,"Trần Quốc Trung
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
110,"Công ty Trách nhiệm hữu hạn Tư vấn giáo dục Quốc tế ALT
","11A, dường Phan Chu Trinh, Phường 2 Quận Bình Thạnh Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Việt An
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"2097/GDĐT-TC
"
111,"Công ty TNHH Tư vấn Giáo dục và Đào tạo Quốc tế Phương Anh
","Phòng 301-302, số 23, đường Lê Quý Đôn, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Diệu
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
112,"Công ty TNHH Một Thành viên PSC
","107 A-B, đường Ngô Quyền, Phường 11 Quận 5 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Thúy Ngọc
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"2432/GDĐT-TC
"
113,"Công ty Cổ phần ITM Thành phố Hồ Chí Minh
","298A-300A, đường Nguyễn Tất Thành, Phường 13 Quận 4 Thành Phố Hồ Chí Minh",None,None,None,"Lưu Danh Tuyến
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
114,"Công ty TNHH Tư vấn du học AOA
","99, đường Nguyễn Bỉnh Khiêm, phường Đa Kao Quận 1 Thành Phố Hồ Chí Minh",None,None,None,"Huỳnh Nghĩa Trí
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"2430/GDĐT-TC
"
115,"Công ty TNHH Ni Hao
","207/15, đường Ba Tháng Hai, Phường 11 Quận 10 Thành Phố Hồ Chí Minh",None,None,None,"Giáp Văn Đạo
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"2431/GDĐT-TC
"
509,Trung tâm hợp tác Châu Âu Trường Đại học Tôn Đức Thắng,"Phòng A0001, Trường Đại học Tôn Đức Thắng, số 19 đường Nguyễn Hữu Thọ, Phường Tân Phong Quận 7 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"24
"
510,KNOCK EDUCATION CONSULTING CO.LTD,"85/2B Trần Kế Xương, Phường 7 Quận Phú Nhuận Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,577
511,Công ty CP Dịch vụ Giáo dục Trí Đức,"1333A Thoại Ngọc Hầu, Phường Hòa Thạnh Quận Tân Phú Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1025
512,"Công ty TNHH Quốc Anh I.E.C
","86 Sương Nguyệt Anh, Phường Bến Thành Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1040
513,"Trung tâm Tư vấn Giáo dục Quốc tế trường Đại học Ngoại thương Cơ sở II tại Thành phố Hồ Chí Minh
","15, đường số D5, Phường 25 Quận Bình Thạnh Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1203
514,"Công ty TNHH Nối kết Giáo dục
","439 Hoàng Văn Thụ, Phường 4 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,600
515,"Công ty TNHH Tư vấn Giáo dục Mạng lưới Quốc tế
","138 Trần Nhân Tôn, Phường 2 Quận 10 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,599
516,"Trung tâm Tư vấn Du học Quốc tế Đông Dương Công ty CP Phát triển Giáo dục Quốc tế Đông Dương
","157 Lý Chính Thắng, Phường 7 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,800
517,"Công ty TNHH Phát triển Quốc tế
","40/19 Trần Quang Diệu, Phường 14 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,968
518,"Công ty TNHH Con đường Giáo dục
","68 Võ Thị Sáu, F. Tân Định Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,969
519,"Công ty CP ISEE
","2 Phan Kế Bính, Phường Đa Kao Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,999
